en,cn,count,r18
takebi,武比,91,0
takenaka hanbee (oda nobuna no yabou),takeaka hanbee (oda nobuna no yabou),91,0
takuyarawr,takuyarawr,91,0
tallinn (azur lane),塔林（碧蓝航线）,91,0
tatsuki (irodori) (style),tatsuki (irodori) (风格),91,0
terazaki kaoru,寺崎薰,91,0
three monkeys,三只猴子,91,0
tia (cocorosso),tia (cocorosso),91,0
tiko (trouble spirit),tiko（麻烦的精神）,91,0
tita russell,泰塔罗素,91,0
toichi (ik07),东一 (ik07),91,0
tomoe gozen (traveling outfit) (fate),tomoe gozen（旅行装）（命运）,91,0
tomoe marguerite,托莫玛格丽特,91,0
touken ranbu: hanamaru,刀剑乱舞：花丸,91,0
touki matsuri,touki matsuri,91,0
toxel,毒电婴,91,0
toy story,玩具总动员,91,0
train (clothing),火车（服装）,91,0
turiganesou800,图里加内苏800,91,0
u-81 (azur lane),u-81（碧蓝航线）,91,0
uesugi kenshin (rance),上杉谦信（兰斯）,91,0
umino iruka,海野 iruka,91,0
urban legend,都市传说,91,0
v (devil may cry),v（鬼泣）,91,0
vanquished queens,被征服的皇后,91,0
wave (world wide wave),波（世界波）,91,0
weshika,维希卡,91,0
wheel o feet,脚轮,91,0
wikipedia,维基百科,91,0
xiang yu (fate),向宇（命运）,91,0
yamaiwa shuuhai,山岩书海,91,0
yomotsuki road,yomotsuki路91号,91,0
yonebayashi saiko,米林西子,91,0
yoshida ayumi,吉田步美,91,0
yuma (coffee-milk-moumou),yuma (咖啡-牛奶-moumou),91,0
yurin leciel,yurin leciel,91,0
yutohiroya,裕太屋,91,0
zefa (neoaltemice),zefa (neoaltemice),91,0
zenos yae galvus,zenos yae galvus,91,0
zipping,拉链,91,0
zz gundam,zz高达91,91,0
;/,眨一只眼,90,0
aer7o,aer7o,90,0
ajimita,阿吉米塔,90,0
aka kitsune,又名狐狸精,90,0
amagai yukino,天井雪乃,90,0
amano yo-ki,天野洋气,90,0
amayadori-tei,天通亭,90,0
amemura ramuda,amemura ramuda,90,0
amira (shingeki no bahamut),阿米拉（shingeki no bahamut）,90,0
aohada bocchi,aohada bocchi,90,0
aoi (princess connect!),aoi（公主连接！）,90,0
arapi,阿拉皮,90,0
argyle sweater vest,菱形毛衣背心,90,0
asuka hina,飞鸟雏,90,0
asukagawa chise,飞鸟川千丝,90,0
au (d elite),非盟（d精英）,90,0
babydoll t-shirt,娃娃装 T 恤,90,0
bakugan,爆丸,90,0
ball bra,球胸罩,90,0
bangalore (apex legends),班加罗尔（顶级传奇）,90,0
bartholomew roberts (fate),巴塞洛缪·罗伯茨（命运）,90,0
basilisk (manga),蛇怪（漫画）,90,0
beach house,海滨别墅,90,0
bell tower,钟楼,90,0
berg-yb,berg-yb,90,0
bladder,膀胱,90,0
blinkblink art,眨眼艺术,90,0
blooper (mario),吹嘘（马里奥）,90,0
bluekalmia,蓝卡米亚,90,0
book of the azure sky,碧空之书,90,0
cabba,卡巴（龙珠）,90,0
caffeccino,咖啡,90,0
camilla (spring) (fire emblem),卡米拉（春天）（火徽）,90,0
cang se ye hua,苍色夜华,90,0
ccccc (jpn m0),ccccc (jpn m0),90,0
chabi (amedama),chabi (amedama),90,0
