en,cn,count,r18
.hack//,.hack //,999,0
anilingus,用嘴舔肛门,999,1
candy hair ornament,糖果发饰,999,0
frankenstein's monster (fate),科学怪人的怪物（命运）999,999,0
fumizuki (kancolle),fumizuki (kancolle),999,0
heartbeat,心跳,999,0
ikeuchi tanuma,池内田沼,999,0
jaguar (kemono friends),捷豹 (kemono 朋友),999,0
motherly,母性的,999,0
ready to draw,准备画,999,0
red oni,红鬼,999,0
uchikake,日式传统婚礼和服,999,0
zara (azur lane),zara（碧蓝航线）,999,0
bow (music),弓（音乐）,998,0
chalk,粉笔,998,0
isshiki (ffmania7),一色 (ffmania7),998,0
neckwear grab,领口抓斗,998,0
pink coat,粉色外套,998,0
see-through skirt,透视裙,998,0
shuffle!,随机播放！,998,0
behind another,在另一个之后,997,0
crystal hair,水晶头发,997,0
dorohedoro,多罗黑多罗,997,0
fur-trimmed cloak,毛边斗篷,997,0
monster hunter rise,怪物猎人崛起,997,0
victor (pokemon),胜利者（口袋妖怪）,997,0
baltimore (azur lane),巴尔的摩（碧蓝航线）,996,0
nu-13,ν-No.13,996,0
plate armor,板甲,996,0
unicorn,独角兽,996,0
cum on hands,射在手上,995,1
kamado tanjirou,灶门炭治郎,994,0
kazenokaze,风风,994,0
large wings,大翅膀,994,0
wraith (apex legends),幽灵（顶级传奇）,994,0
momozono love,桃园之爱,993,0
namori,名森,993,0
grey ribbon,灰丝带,992,0
haniyasushin keiki,haniyasushin keiki,992,0
petals on liquid,液体上的花瓣,992,0
sakuramon,樱花纹,991,0
digitigrade,双脚站立行走的非人生物,990,0
fiery horns,火热的角,990,0
gift bag,礼品袋,990,0
hidefu kitayan,希夫基塔延,990,0
marvel cinematic universe,漫威电影宇宙,990,0
mismatched sleeves,不匹配的袖子,990,0
newhalf,生理男性的扶她（futa）,990,1
penis size difference,阴茎大小差异,990,1
queen (chess),皇后（国际象棋）,990,0
soda bottle,汽水瓶,990,0
triangle print,三角印花,990,0
yin (darker than black),阴（比黑色深）,990,0
carrying person,载人,989,0
check copyright,检查版权,989,0
irys (hololive),鸢尾花（全息）,989,0
ketchup,番茄酱,989,0
mizuno ai,美津浓爱,989,0
bow earrings,蝴蝶结耳环,988,0
commander (girls' frontline),指挥官（少女前线）,988,0
disgust,厌恶，反感,988,0
pod (nier automata),吊舱（尼尔自动机）,988,0
akitsuki karasu,秋月乌,987,0
iizuki tasuku,饭月幸,987,0
izumi-no-kami kanesada,泉神兼定,987,0
opening door,开门,987,0
satin,缎,987,0
dangle earrings,吊坠耳环,986,0
fairy knight tristan (fate),妖精骑士特里斯坦（命运）,986,0
gym,健身房,986,0
oryo (oryo04),oryo (oryo04),986,0
spacezin,太空锌,986,0
drum (container),鼓（容器）,985,0
french text,法语文本,985,0
ruler,尺子,985,0
dark aura,黑暗光环,984,0
gakkou gurashi!,gakkou gurashi!,984,0
lettuce,生菜,984,0
blend s,混合 s,983,0
sideways,侧身,983,0
ammunition belt,弹药带,982,0
archived source,存档源,982,0
cat day,猫日,982,0
littorio (kancolle),littorio (kancolle),982,0
noai nioshi,noai nioshi,982,0
slayers,杀手,982,0
boruto: naruto next generations,火影忍者：火影忍者下一代,981,0
boudica (fate),布迪卡（命运）,981,0
closers,闭门器,981,0
hair ears,发耳,981,0
kamille (vcx68),卡米尔 (vcx68),981,0
kawashima momo,川岛桃子,981,0
lace-trimmed gloves,蕾丝边手套,981,0
touhoku kiritan,东北桐人,981,0
boo (mario),嘘（马里奥）,980,0
grimoire,魔典（有关魔法和炼金术的书）,980,0
ichigo mashimaro,一护真麻吕,980,0
sailor venus,水手金星,980,0
by Charles Camoin,查尔斯·卡莫因,980,0
hickey,吻痕,979,0
jojo pose,乔乔姿势,979,0
off-shoulder bikini,露肩比基尼,979,0
ootachi,大立（野太刀）,979,0
stuffed winged unicorn,毛绒独角兽,979,0
test plugsuit,测试插件套装,979,0
furrification,毛皮化,978,0
ribbon-trimmed dress,丝带饰边连衣裙,978,0
riding pokemon,骑口袋妖怪,978,0
bad food,糟糕的食物,977,0
gradient legwear,渐变色紧身裤,977,0
legs over head,双腿过头,977,0
niijima makoto,新岛诚,977,0
round window,圆窗,977,0
abuse,虐待,976,0
multiple monochrome,多单色,976,0
oven mitts,烤箱手套,976,0
satou kibi,佐藤吉备,976,0
yamashita shun'ya,山下春亚,976,0
akairiot,阿凯里奥特,975,0
enkidu (fate),恩奇都（命运）,975,0
fake wings,假翅膀,975,0
naked bandage,裸绷带,975,1
rising sun,初升的太阳,975,0
yoshi tama,多摩,975,0
berserker (fate/zero),狂战士（命运/零）,974,0
comparison,比较,974,0
implied yuri,隐含的尤里,974,0
lalafell,拉拉菲尔（FF14）,974,0
vaulting horse,跳马,974,0
g gundam,g高达973,973,0
adjusting legwear,调整裤袜,972,0
ballet slippers,芭蕾舞鞋,972,0
bat ears,蝙蝠耳朵,972,0
battle rifle,战斗步枪,972,0
boar,公猪,972,0
cum on penis,射在阴茎上,972,1
high priest (ragnarok online),大祭司（仙境传说在线）,972,0
luggage,行李,972,0
moisture (chichi),水分 (chichi),972,0
rance (series),兰斯（系列）,972,0
selen tatsuki,瑟伦辰月,972,0
shared bathing,共享洗浴,972,0
sword art online: alicization,刀剑神域：alicization,972,0
torpedo launcher,鱼雷发射器,972,0
cropped shoulders,露肩,971,0
futa on male,富达男971,971,1
holding water gun,拿着水枪,971,0
nemoto hina,nemoto hina,971,0
overcast,云层完全覆盖天空,971,0
shirt grab,衬衫抓斗,971,0
torn jeans,破牛仔裤,971,0
weapon request,武器请求,971,0
cactus,仙人掌,970,0
evangelion: 3.0+1.0 thrice upon a time,新世纪福音战士：3.0+1.0三次,970,0
guido mista,圭多米斯塔,970,0
orange pantyhose,橙色连裤袜,970,0
soap censor,肥皂审查员,970,0
strap lift,吊带机,970,0
yamashiro (azur lane),山城（碧蓝航线）,970,0
by Emmanuelle Moureaux,Emmanuelle Moureaux公司,970,0
by Jeff Koons,杰夫·昆斯,970,0
by Chris Moore,克里斯·摩尔,970,0
by Alfred Augustus Glendening,阿尔弗雷德·奥古斯特·格伦德宁,970,0
armin arlert,阿明警报,969,0
chimney,烟囱,969,0
covering ass,覆盖屁股,969,1
dream c club,梦想 c 俱乐部,969,0
flock,一群动物,969,0
kako (kancolle),kako (kancolle),969,0
non non biyori,非非比约,969,0
squirtle,杰尼龟,969,0
6 (yuchae),6（鱼菜）,968,0
chat log,聊天记录,968,0
doitsuken,做工,968,0
passionlip (fate),激情唇（命运）,968,0
rias gremory,里亚斯·格雷莫里,968,0
shards,碎片,968,0
aestus estus,aestus estus,967,0
ammunition,弹药,967,0
fubuki (one-punch man),fubuki（一拳超人）,967,0
kitasan black (umamusume),北山黑 (umamusume),967,0
red neckwear,红色领带,967,0
sundae,圣代,967,0
