en,cn,count,r18
ayanami kai ni (kancolle),绫波改二 (kancolle),192,0
barashiya,巴拉什亚,192,0
beatrix (ff9),比阿特丽克斯 (ff9),192,0
beta (inazuma eleven),贝塔（闪电十一人）,192,0
buta tamako,布塔玉子,192,0
cape hold,海角堡,192,0
chou-10cm-hou-chan (hatsuzuki's),chou-10cm-hou-chan (hatsuzuki's),192,0
christina (princess connect!),克里斯蒂娜（公主连接！）,192,0
chrono harlaown,计时哈劳恩,192,0
colored pencil,彩色铅笔,192,0
cypress,柏树,192,0
dark pit,暗坑,192,0
disintegration,解体,192,0
dowman sayman,道曼·赛曼,192,0
euryale (third ascension) (fate),euryale（第三次提升）（命运）,192,0
fukumaaya,福间屋,192,0
futakoi,二子井,192,0
ganbare goemon,ganbare goemon,192,0
gardening,园艺,192,0
gengetsu chihiro,源月千寻,192,0
goroo (eneosu),goroo (eneosu),192,0
hakuishi aoi,白石葵,192,0
hand on weapon,手握武器,192,0
hands on own chin,双手托住下巴,192,0
hattori shizuka,服部静香,192,0
hijab,头巾,192,0
hiroshimaben,广岛,192,0
jyushimatsu's girlfriend,柔松的女朋友,192,0
kageyama shien,影山诗园,192,0
ke-su,克苏,192,0
kekocha,可可茶,192,0
kitarou,鬼太郎,192,0
lappland (refined horrormare) (arknights),拉普兰（精致的恐怖梦魇）（方舟之夜）,192,0
layered shirt,分层衬衫,192,0
lemontea,柠檬茶,192,0
lens flare abuse,镜头光晕滥用,192,0
mirrored text,镜像文本,192,0
monster farm,怪物农场,192,0
nagareboshi,流星,192,0
nakamura sumikage,中村纯影,192,0
namco,南梦宫,192,0
nana (raiupika),娜娜 (raiupika),192,0
newhalf with male,newhalf 与男性,192,1
nigiri (ngr24),握寿司 (ngr24),192,0
ninomotonino,二元音,192,0
nose art,鼻子艺术,192,0
ohitsu,大忍,192,0
otomedius,耳蜗,192,0
parasite eve,寄生虫前夕,192,0
phoenix wright: ace attorney - dual destinies,凤凰赖特：王牌律师 - 双重命运,192,0
photo album,相册,192,0
pumpkin costume,南瓜服装,192,0
purple nipples,紫色的乳头,192,1
pyramid (geometry),金字塔（几何）,192,0
repair bucket,修理桶,192,0
rokuichi,六一,192,0
roulette table,轮盘赌桌,192,0
ryuinu,龙牛,192,0
schreibe shura,施赖布舒拉,192,0
serizawa mutsuki,芹泽睦月,192,0
shigaraki (strobe blue),shigaraki（频闪蓝）,192,0
shigekikkusu,重菊花,192,0
snoring,打鼾,192,0
sonken,松肯,192,0
stomach punch,胃拳,192,0
stuffed tiger,毛绒老虎,192,0
suzuki arisa,铃木有纱,192,0
synthesizer,合成,192,0
tamiya akito,田宫明人,192,0
teu (navy),标准箱（海军）,192,0
tilm,蒂姆,192,0
ultima (fft),最后（fft）,192,0
veteran mercenary echidna,资深雇佣兵针鼹,192,0
wooden pencil,木制铅笔,192,0
zangyaku-san,藏玉山,192,0
aihara mei,爱原美,191,0
airport,飞机场,191,0
aragami oga,荒神大贺,191,0
blaccura,布拉库拉,191,0
brat (brabrabrat00),小子 (brabrabrat00),191,0
chastity cage,贞操笼,191,0
coat of arms,徽章,191,0
cure gelato,治愈冰淇淋,191,0
edward wong hau pepelu tivrusky iv,爱德华·王后 pepelu tivrusky iv,191,0
eiji (eiji),荣治（荣治）,191,0
element bending,单元弯曲,191,0
enelis,肠衣,191,0
feet only,只用脚,191,0
food wrapper,食品包装纸,191,0
food-themed ornament,以食物为主题的装饰品,191,0
formaggio,形式,191,0
fujinoki (horonabe-ken),fujinoki (horonabe-ken),191,0
gaia (ff14),盖亚 (ff14),191,0
green butterfly,绿蝴蝶,191,0
heart belt,心形腰带,191,0
hera (p&d),赫拉 (p&d),191,0
hyocorou,孝柔,191,0
inumaki toge,犬卷峠,191,0
jacket tug,夹克拖船,191,0
jakob (fire emblem),雅各布（火徽）,191,0
jimmy madomagi,吉米 madomagi,191,0
karei,卡雷,191,0
kogane (staygold),小金（staygold）,191,0
laco soregashi,拉科·索雷加什,191,0
lee-enfield,李恩菲尔步枪,191,0
lila decyrus,紫丁香 decyrus,191,0
mijinko (rioriorio),mijinko (rioriorio),191,0
mkiiiiii,mkiiiiii,191,0
mutton chops,羊排,191,0
nyagakiya,尼亚加基亚,191,0
nyoibo,如意棒,191,0
persona 5: dancing star night,角色5：舞星之夜,191,0
pkp (girls' frontline),pkp（少女前线）,191,0
pumpkinsinclair,南瓜辛克莱,191,0
rear-view mirror,后视镜,191,0
red goggles,红色护目镜,191,0
rensyu,人鱼,191,0
sakura megumi,樱花惠,191,0
sawatari (sado),泽渡（佐渡）,191,0
sbel02,sbel02,191,0
shigehiro (hiroi heya),shigehiro (hiroi heya),191,0
sig sauer p226,西格绍尔 p226,191,0
slow loop,慢循环,191,0
sophocles (pokemon),sophocles（口袋妖怪）,191,0
sora (efr),空 (efr),191,0
sorano aoi,索拉诺葵,191,0
stairwell,楼梯间,191,0
stella vermillion,斯特拉朱红,191,0
